shortName,symbol,fullExchangeName,dividendDate,trailingAnnualDividendRate,trailingAnnualDividendYield
Educational Development Corpora,EDUC,NasdaqGM,2022-03-09 18:00:00,0.1,0.03508772
Global X Education ETF,EDUT,NasdaqGM,,,
Vanguard Extended Duration Trea,EDV,NYSEArca,,0.0,0.0
Direxion Emerging Markets Bear ,EDZ,NYSEArca,,0.0,0.0
"Excelerate Energy, Inc.",EE,NYSE,2022-12-13 18:00:00,0.05,0.0024777006
"The European Equity Fund, Inc.",EEA,NYSE,2019-01-29 18:00:00,2.183,0.26950616
"Euronet Worldwide, Inc.",EEFT,NasdaqGS,,0.0,0.0
EpicQuest Education Group Inter,EEIQ,NasdaqCM,,0.0,0.0
Invesco S&P Emerging Markets Lo,EELV,NYSEArca,,0.0,0.0
iShares MSCI Emerging Index Fun,EEM,NYSEArca,,0.76,0.020391736
iShares MSCI Emerging Markets A,EEMA,NasdaqGM,2016-12-27 18:00:00,,
AAM S&P Emerging Markets High D,EEMD,NYSEArca,,,
Invesco S&P Emerging Markets Mo,EEMO,NYSEArca,,,
Ishares MSCI Emerging Markets S,EEMS,NYSEArca,,,
iShares MSCI Emerging Markets M,EEMV,BATS,,0.0,0.0
SPDR MSCI Emerging Markets Fuel,EEMX,NYSEArca,,,
WisdomTree U.S. SmallCap Fund,EES,NYSEArca,,,
ProShares Ultra MSCI Emerging M,EET,NYSEArca,,,
ProShares UltraShort MSCI Emerg,EEV,NYSEArca,,,
"Emerald Holding, Inc.",EEX,NYSE,2020-03-05 18:00:00,0.0,0.0
iShares MSCI EAFE ETF,EFA,NYSEArca,,1.761,0.026303213
ProShares Trust ProShares MSCI ,EFAD,BATS,,,
Global X MSCI SuperDividend EAF,EFAS,NasdaqGM,2017-04-11 19:00:00,,
iShares MSCI EAFE Min Vol Facto,EFAV,BATS,,0.0,0.0
SPDR MSCI EAFE Fossil Fuel Rese,EFAX,NYSEArca,,,
Ellington Financial Inc.,EFC,NYSE,2023-04-24 19:00:00,1.8,0.15873015
iShares MSCI EAFE Growth ETF,EFG,BATS,,,
EF Hutton Acquisition Corporati,EFHT,NasdaqGM,,0.0,0.0
EF Hutton Acquisition Corporati,EFHTR,NasdaqGM,,0.0,0.0
EF Hutton Acquisition Corporati,EFHTW,NasdaqGM,,0.0,0.0
SPDR S&P 500 ESG ETF,EFIV,NYSEArca,,,
First Trust Exchange-Traded Fun,EFIX,NYSEArca,,,
iShares Inc iShares MSCI Finlan,EFNL,BATS,,,
ProShares Ultra MSCI EAFE,EFO,NYSEArca,,0.0,0.0
"Energy Focus, Inc.",EFOI,NasdaqCM,2020-06-11 19:00:00,0.0,0.0
Eaton Vance Senior Floating-Rat,EFR,NYSE,2019-01-09 18:00:00,0.975,0.085601404
iShares Environmental Infrastru,EFRA,NasdaqGM,,,
Enterprise Financial Services C,EFSC,NasdaqGS,2023-03-30 19:00:00,0.9,0.018738288
Enterprise Financial Services C,EFSCP,NasdaqGS,2023-03-14 19:00:00,0.9,0.053285968
Eaton Vance Floating Rate Incom,EFT,NYSE,2019-01-09 18:00:00,0.931,0.08095652
"eFFECTOR Therapeutics, Inc.",EFTR,NasdaqCM,,0.0,0.0
,EFTRW,NasdaqCM,,,
ProShares UltraShort MSCI EAFE,EFU,NYSEArca,,,
iShares MSCI EAFE Value ETF,EFV,BATS,,0.0,0.0
"Equifax, Inc.",EFX,NYSE,2023-03-14 19:00:00,1.56,0.007828967
Enerflex Ltd,EFXT,NYSE,2023-04-05 19:00:00,0.1,0.016863408
ProShares Short MSCI EAFE,EFZ,NYSEArca,,,
eGain Corporation,EGAN,NasdaqCM,,0.0,0.0
"Eagle Bancorp, Inc.",EGBN,NasdaqCM,2023-01-30 18:00:00,1.75,0.049102135
Blackrock Enhanced Government F,EGF,NYSE,2019-01-08 18:00:00,0.492,0.050796013
EG Acquisition Corp.,EGGF,NYSE,,0.0,0.0
,EGGF-WS,,,,
8x8 Inc,EGHT,NasdaqGS,,0.0,0.0
"Edgio, Inc.",EGIO,NasdaqGS,,0.0,0.0
2ndVote Society Defended ETF,EGIS,BATS,,0.0,0.0
Eagle Bulk Shipping Inc.,EGLE,NYSE,2023-03-22 19:00:00,6.6,0.1373855
Enthusiast Gaming Holdings Inc.,EGLX,NasdaqGS,,0.0,0.0
Eldorado Gold Corporation,EGO,NYSE,2018-12-30 18:00:00,0.0,0.0
"EastGroup Properties, Inc.",EGP,NYSE,2023-04-13 19:00:00,4.7,0.029201616
VanEck Egypt Index ETF,EGPT,NYSEArca,,0.0,0.0
"Eagle Pharmaceuticals, Inc.",EGRX,NasdaqGM,,0.0,0.0
iShares Trust iShares ESG Aware,EGUS,BATS,,0.0,0.0
"VAALCO Energy, Inc.",EGY,NYSE,2023-03-30 19:00:00,0.098,0.024019608
EHang Holdings Limited,EH,NasdaqGM,,0.0,0.0
"Enhabit, Inc.",EHAB,NYSE,,0.0,0.0
Encompass Health Corporation,EHC,NYSE,2023-04-16 19:00:00,0.86,0.016519401
Western Asset Global High Incom,EHI,NYSE,2019-02-28 18:00:00,0.804,0.10677291
"eHealth, Inc.",EHTH,NasdaqGS,,0.0,0.0
Eagle Point Income Company Inc.,EIC,NYSE,,1.53,0.10905203
Eagle Point Income Company Inc.,EICA,NYSE,2023-06-29 19:00:00,1.53,0.06423174
iShares MSCI Indonesia ETF,EIDO,NYSEArca,,0.0,0.0
Employers Holdings Inc,EIG,NYSE,2023-03-14 19:00:00,1.03,0.02503646
"Eiger BioPharmaceuticals, Inc.",EIGR,NasdaqGM,,0.0,0.0
100401,EIM,NYSE,2019-01-30 18:00:00,0.549,0.054626867
VanEck Energy Income ETF,EINC,NYSEArca,,0.0,0.0
First Trust Exchange-Traded Fun,EIPX,NYSEArca,,0.0,0.0
iShares Trust iShares MSCI Irel,EIRL,NYSEArca,,,
iShares Inc iShares MSCI Israel,EIS,NYSEArca,,0.0,0.0
Edison International,EIX,NYSE,2023-04-29 19:00:00,2.837,0.04164709
Innovator Emerging Markets Powe,EJAN,NYSEArca,,,
E-Home Household Service Holdin,EJH,NasdaqCM,,0.0,0.0
Innovator Emerging Markets Powe,EJUL,NYSEArca,,,
First Trust Nasdaq Lux Digital ,EKG,NasdaqGM,,0.0,0.0
"Ekso Bionics Holdings, Inc.",EKSO,NasdaqCM,2020-03-24 19:00:00,0.0,0.0
"Estee Lauder Companies, Inc. (T",EL,NYSE,2023-03-14 19:00:00,2.46,0.010388513
Envela Corporation,ELA,NYSE American,,0.0,0.0
Elanco Animal Health Incorporat,ELAN,NYSE,,0.0,0.0
Electra Battery Materials Corpo,ELBM,NasdaqCM,,0.0,0.0
"Entergy Louisiana, Inc. Collate",ELC,NYSE,2019-02-28 18:00:00,,
WisdomTree Emerging Markets Loc,ELD,NYSEArca,,0.0,0.0
"Eledon Pharmaceuticals, Inc.",ELDN,NasdaqCM,2020-10-04 19:00:00,0.0,0.0
"Elevation Oncology, Inc.",ELEV,NasdaqGS,,0.0,0.0
"e.l.f. Beauty, Inc.",ELF,NYSE,,0.0,0.0
Ellomay Capital Ltd,ELLO,NYSE American,2016-04-19 19:00:00,0.0,0.0
"Electromed, Inc.",ELMD,NYSE American,,0.0,0.0
Elme Communities,ELME,NYSE,2023-04-04 19:00:00,0.68,0.03740374
"Eloxx Pharmaceuticals, Inc.",ELOX,NasdaqCM,2017-12-19 18:00:00,0.0,0.0
Companhia Paranaense de Energia,ELP,NYSE,2022-12-11 18:00:00,1.17,0.18111454
iShares ESG Advanced Investment,ELQD,NYSEArca,,,
"Equity Lifestyle Properties, In",ELS,NYSE,2023-04-13 19:00:00,1.64,0.024833433
"Electro-Sensors, Inc.",ELSE,NasdaqCM,2013-05-23 19:00:00,0.0,0.0
Eltek Ltd.,ELTK,NasdaqCM,2022-12-18 18:00:00,0.17,0.040767387
"Elevance Health, Inc.",ELV,NYSE,2023-03-23 19:00:00,5.12,0.011216263
"Enliven Therapeutics, Inc.",ELVN,NasdaqGS,,0.0,0.0
"Eliem Therapeutics, Inc",ELYM,NasdaqGM,,0.0,0.0
"Elys Game Technology, Corp.",ELYS,NasdaqCM,2019-12-11 18:00:00,0.0,0.0
Smart Share Global Limited,EM,NasdaqGS,,0.0,0.0
eMagin Corporation,EMAN,NYSE American,2012-12-25 18:00:00,0.0,0.0
iShares J.P. Morgan USD Emergin,EMB,NasdaqGM,2018-04-05 19:00:00,,
Embecta Corp.,EMBC,NasdaqGS,2023-03-12 19:00:00,0.3,0.009996668
Global X Emerging Markets Bond ,EMBD,NYSEArca,,,
"Embark Technology, Inc.",EMBK,NasdaqGM,,0.0,0.0
"Embark Technology, Inc. Warrants",EMBKW,NasdaqGM,,,
Emerge EMPWR Sustainable Divide,EMCA,BATS,,,
WisdomTree Emerging Markets Cor,EMCB,NasdaqGM,2017-02-23 18:00:00,,
Embrace Change Acquisition Corp,EMCG,NasdaqGM,2016-12-29 18:00:00,0.0,0.0
Embrace Change Acquisition Corp,EMCGR,NasdaqGM,,0.0,0.0
Embrace Change Acquisition Corp,EMCGU,NasdaqGM,,0.0,0.0
Embrace Change Acquisition Corp Warrants,EMCGW,NasdaqGM,,0.0,0.0
,EMCH,BATS,,,
Western Asset Emerging Markets ,EMD,NYSE,2019-02-28 18:00:00,1.01,0.1203814
First Trust Exchange-Traded Fun,EMDM,NYSEArca,,,
ProShares MSCI Emerging Markets,EMDV,BATS,,,
"EMCOR Group, Inc.",EME,NYSE,2023-01-30 18:00:00,0.58,0.0037200947
Templeton Emerging Markets Fund,EMF,NYSE,2018-12-30 18:00:00,1.11,0.1
Global X MSCI Next Emerging & F,EMFM,NYSEArca,,,
Amplify Emerging Markets FinTec,EMFQ,NYSEArca,,0.0,0.0
Emerge EMPWR Sustainable Divide,EMGC,BATS,,0.0,0.0
Simplify Exchange Traded Funds ,EMGD,NYSEArca,,,
iShares Emerging Markets Equity,EMGF,BATS,,,
SPDR Bloomberg Emerging Markets,EMHC,NYSEArca,,,
iShares J.P. Morgan EM High Yie,EMHY,BATS,,0.0,0.0
iShares S&P Emerging Markets In,EMIF,NasdaqGM,2016-12-28 18:00:00,,
EMCORE Corporation,EMKR,NasdaqGM,2016-07-28 19:00:00,0.0,0.0
Eastern Company (The),EML,NasdaqGM,2023-03-14 19:00:00,0.44,0.027751498
VanEck J. P. Morgan EM Local Cu,EMLC,NYSEArca,,,
FTAC Emerald Acquisition Corp.,EMLD,NasdaqGM,,0.0,0.0
FTAC Emerald Acquisition Corp.,EMLDU,NasdaqGM,,0.0,0.0
FTAC Emerald Acquisition Corp. ,EMLDW,NasdaqGM,,0.0,0.0
First Trust North American Ener,EMLP,NYSEArca,,0.0,0.0
WisdomTree Emerging Markets Mul,EMMF,NYSEArca,,,
Eastman Chemical Company,EMN,NYSE,2023-04-09 19:00:00,3.07,0.038293626
PIMCO Enhanced Short Maturity A,EMNT,NYSEArca,,,
ClearBridge Energy Midstream Op,EMO,NYSE,2019-02-27 18:00:00,0.0,0.0
"Entergy Mississippi, LLC First ",EMP,NYSE,2018-12-31 18:00:00,,
Emerge EMPWR Sustainable Divide,EMPW,BATS,,,
Emerging Markets Internet and E,EMQQ,NYSEArca,,,
Emerson Electric Company,EMR,NYSE,2023-03-09 18:00:00,2.065,0.025642619
Xtrackers MSCI Emerging Markets,EMSG,NYSEArca,,,
SPDR DoubleLine Emerging Market,EMTL,BATS,,,
ProShares Decline of the Retail,EMTY,NYSEArca,,,
EMX Royalty Corporation,EMX,NYSE American,,0.0,0.0
iShares MSCI Emerging Markets e,EMXC,NasdaqGM,,,
iShares ESG Advanced MSCI EM ET,EMXF,NasdaqGM,,,
Emerge EMPWR Sustainable Divide,EMZA,BATS,,,
Enbridge Inc,ENB,NYSE,2023-02-28 18:00:00,3.44,0.09401476
Enbridge Inc 6.375% Fixed-to-Fl,ENBA,NYSE,2019-04-14 19:00:00,1.88,0.07445545
Energem Corp,ENCP,NasdaqGM,,0.0,0.0
Energem Corp,ENCPU,NasdaqGM,,0.0,0.0
Energem Corp Warrant,ENCPW,NasdaqGM,,,
Accretion Acquisition Corp.,ENER,NasdaqGM,,0.0,0.0
Accretion Acquisition Corp.,ENERR,NasdaqGM,,,
Accretion Acquisition Corp.,ENERU,NasdaqGM,,0.0,0.0
Accretion Acquisition Corp. Warrant,ENERW,NasdaqGM,,,
"Enfusion, Inc.",ENFN,NYSE,,0.0,0.0
Alerian Energy Infrastructure E,ENFR,NYSEArca,,,
ENGlobal Corporation,ENG,NasdaqCM,,0.0,0.0
Enel Chile S.A.,ENIC,NYSE,2023-02-08 18:00:00,0.0,0.0
"Entergy New Orleans, LLC First ",ENJ,NYSE,2019-02-28 18:00:00,,
"EnLink Midstream, LLC",ENLC,NYSE,2023-02-12 18:00:00,0.463,0.04451923
Enlight Renewable Energy Ltd.,ENLT,NasdaqGS,,0.0,0.0
Enlivex Therapeutics Ltd.,ENLV,NasdaqCM,2019-03-05 18:00:00,0.0,0.0
"Entergy New Orleans, LLC First ",ENO,NYSE,2018-12-31 18:00:00,,
"Enochian Biosciences, Inc.",ENOB,NasdaqCM,,0.0,0.0
iShares Inc iShares MSCI Norway,ENOR,BATS,,,
Enovis Corporation,ENOV,NYSE,,0.0,0.0
"Enphase Energy, Inc.",ENPH,NasdaqGM,,0.0,0.0
"Energizer Holdings, Inc.",ENR,NYSE,2023-03-15 19:00:00,1.2,0.03622095
SoFi Smart Energy ETF,ENRG,NYSEArca,,0.0,0.0
EnerSys,ENS,NYSE,2023-03-30 19:00:00,0.7,0.008698354
"Ensysce Biosciences, Inc.",ENSC,NasdaqCM,,0.0,0.0
"The Ensign Group, Inc.",ENSG,NasdaqGS,2023-01-30 18:00:00,0.223,0.0025271988
Enservco Corporation,ENSV,NYSE American,2020-11-22 18:00:00,0.0,0.0
"Enanta Pharmaceuticals, Inc.",ENTA,NasdaqGS,,0.0,0.0
Enterprise 4.0 Technology Acqui,ENTF,NasdaqGM,,0.0,0.0
Enterprise 4.0 Technology Acqui,ENTFU,NasdaqGM,,0.0,0.0
Enterprise 4.0 Technology Acquisition Corp. Warrant,ENTFW,NasdaqGM,,,
"Entegris, Inc.",ENTG,NasdaqGS,2023-02-21 18:00:00,0.4,0.004958473
ERShares Entrepreneurs ETF,ENTR,NYSEArca,2017-12-27 18:00:00,,
Entera Bio Ltd.,ENTX,NasdaqCM,,0.0,0.0
Entera Bio Ltd.,ENTXW,NasdaqCM,,,
"Envestnet, Inc",ENV,NYSE,,0.0,0.0
"Enova International, Inc.",ENVA,NYSE,,0.0,0.0
"Enveric Biosciences, Inc.",ENVB,NasdaqCM,2019-11-24 18:00:00,0.0,0.0
Enovix Corporation,ENVX,NasdaqGS,,0.0,0.0
19801,ENX,NYSE American,2019-01-30 18:00:00,0.418,0.044658124
"Enzo Biochem, Inc.",ENZ,NYSE,,0.0,0.0
iShares MSCI New Zealand ETF,ENZL,NasdaqGM,2016-12-27 18:00:00,0.0,0.0
Innovator Emerging Markets Powe,EOCT,NYSEArca,,,
Elliott Opportunity II Corp.,EOCW,NYSE,,0.0,0.0
,EOCW-WS,,,,
Wells Fargo Global Dividend Opp,EOD,NYSE,2019-01-01 18:00:00,0.0,0.0
"EOG Resources, Inc.",EOG,NYSE,2023-04-27 19:00:00,3.075,0.030301537
Eaton Vance Enhance Equity Inco,EOI,NYSE,2019-01-30 18:00:00,1.314,0.08777555
"Evolus, Inc. Common Stock",EOLS,NasdaqGM,,0.0,0.0
Eaton Vance Enhance Equity Inco,EOS,NYSE,2019-01-30 18:00:00,1.603,0.10302056
"Eos Energy Enterprises, Inc.",EOSE,NasdaqCM,,0.0,0.0
"Eos Energy Enterprises, Inc.",EOSEW,NasdaqCM,,,
Eaton Vance Municipal Income Tr,EOT,NYSE,2019-01-30 18:00:00,0.0,0.0
Empire Petroleum Corporation,EP,NYSE American,,0.0,0.0
Enerpac Tool Group Corp.,EPAC,NYSE,2022-10-16 19:00:00,0.04,0.0014858841
"EPAM Systems, Inc.",EPAM,NYSE,,0.0,0.0
Edgewell Personal Care Company,EPC,NYSE,2023-04-04 19:00:00,0.6,0.014513789
Enterprise Products Partners L.,EPD,NYSE,2023-02-13 18:00:00,1.905,0.07568534
iShares MSCI Philippines ETF,EPHE,NYSEArca,,,
WisdomTree India Earnings Fund,EPI,NYSEArca,,,
ESSA Pharma Inc.,EPIX,NasdaqCM,2018-04-24 19:00:00,0.0,0.0
Evolution Petroleum Corporation,EPM,NYSE American,2023-03-30 19:00:00,0.44,0.07652174
iShares Trust iShares MSCI Pola,EPOL,NYSEArca,,0.0,0.0
"Sunrise New Energy Co., Ltd",EPOW,NasdaqCM,,0.0,0.0
iShares MSCI Pacific Ex-Japan I,EPP,NYSEArca,,1.168,0.0279092
EPR Properties,EPR,NYSE,2023-03-14 19:00:00,3.25,0.08437175
Innovator S&P Investment Grade ,EPRF,BATS,,,
Essential Properties Realty Tru,EPRT,NYSE,2023-04-13 19:00:00,1.075,0.044311624
WisdomTree U.S. LargeCap Fund,EPS,NYSEArca,,,
Epsilon Energy Ltd.,EPSN,NasdaqGM,2022-12-29 18:00:00,0.188,0.038603697
iShares Trust iShares MSCI Peru,EPU,NYSEArca,,,
ProShares UltraShort FTSE Europ,EPV,NYSEArca,,,
"Equillium, Inc.",EQ,NasdaqGM,,0.0,0.0
Invesco Russell 1000 Equal Weig,EQAL,NYSEArca,,,
"Equity Bancshares, Inc.",EQBK,NasdaqGS,2023-01-16 18:00:00,0.36,0.013942681
Equity,EQC,NYSE,2023-03-08 18:00:00,0.0,0.0
"Equitable Holdings, Inc.",EQH,NYSE,2023-03-05 18:00:00,0.8,0.033222593
"Equinix, Inc.",EQIX,NasdaqGS,2023-03-21 19:00:00,12.4,0.017841984
ALPS Equal Sector Weight ETF,EQL,NYSEArca,,,
Equinor ASA,EQNR,NYSE,2023-01-24 18:00:00,0.9,0.0329188
Natixis U.S. Equity Opportuniti,EQOP,NYSEArca,,,
Equity Residential,EQR,NYSE,2023-01-12 18:00:00,2.5,0.04168751
ProShares Equities for Rising R,EQRR,NasdaqGM,,,
"EQRx, Inc.",EQRX,NasdaqGM,,0.0,0.0
,EQRXW,NasdaqGM,,,
"Equus Total Return, Inc.",EQS,NYSE,,0.0,0.0
EQT Corporation,EQT,NYSE,2023-02-28 18:00:00,0.55,0.019077351
Valued Advisers Trust Kovitz Co,EQTY,NYSEArca,,,
IQ Engender Equality ETF,EQUL,NYSEArca,,,
Invesco S&P 100 Equal Weight ET,EQWL,NYSEArca,,,
Equinox Gold Corp.,EQX,NYSE American,2019-08-19 19:00:00,0.0,0.0
"Erasca, Inc.",ERAS,NasdaqGS,,0.0,0.0
109188,ERC,NYSE,2019-02-28 18:00:00,1.095,0.12112832
East Resources Acquisition Comp,ERES,NasdaqCM,,0.0,0.0
East Resources Acquisition Comp,ERESU,NasdaqCM,,0.0,0.0
East Resources Acquisition Comp,ERESW,NasdaqCM,,,
iShares Environmentally Aware R,ERET,NasdaqGM,,0.0,0.0
Enerplus Corporation,ERF,NYSE,2023-03-14 19:00:00,0.181,0.013681028
40135,ERH,NYSE American,2019-02-28 18:00:00,0.899,0.08561905
Ericsson,ERIC,NasdaqGS,2022-10-13 19:00:00,0.0,0.0
Erie Indemnity Company,ERIE,NasdaqGS,2023-04-19 19:00:00,4.52,0.01992506
"Energy Recovery, Inc.",ERII,NasdaqGS,,0.0,0.0
Embraer S.A.,ERJ,NYSE,2019-01-17 18:00:00,0.0,0.0
EquityCompass Risk Manager ETF,ERM,NYSEArca,2017-12-28 18:00:00,,
Eterna Therapeutics Inc.,ERNA,NasdaqCM,,0.0,0.0
Ero Copper Corp.,ERO,NYSE,,0.0,0.0
ERShares NextGen Entrepreneurs ,ERSX,NYSEArca,,,
Invesco MSCI Sustainable Future,ERTH,NYSEArca,,,
Direxion Energy Bull 2X Shares,ERX,NYSEArca,,,
Direxion Daily Energy Bear 2X S,ERY,NYSEArca,,,
Erytech Pharma S.A.,ERYP,NasdaqGS,,0.0,0.0
Eversource Energy (D/B/A),ES,NYSE,2023-03-30 19:00:00,2.55,0.03319448
ESAB Corporation,ESAB,NYSE,2023-04-13 19:00:00,0.15,0.0025689332
ESGEN Acquisition Corporation,ESAC,NasdaqGM,,0.0,0.0
ESGEN Acquisition Corporation,ESACU,NasdaqGM,,0.0,0.0
ESGEN ACQUISITION CORP C/WTS (T,ESACW,NasdaqGM,,,
"Empire State Realty OP, L.P. Se",ESBA,NYSEArca,2023-03-30 19:00:00,0.14,0.023026315
"Escalade, Incorporated",ESCA,NasdaqGM,2023-03-19 19:00:00,0.6,0.047206927
DBX ETF Tr Xtrackers Bloomberg ,ESCR,BATS,,,
ESCO Technologies Inc.,ESE,NYSE,2023-04-17 19:00:00,0.32,0.003678161
Euroseas Ltd.,ESEA,NasdaqCM,2023-03-15 19:00:00,0.0,0.0
Xtrackers J.P. Morgan ESG Emerg,ESEB,BATS,,,
FlexShares STOXX US ESG Select ,ESG,BATS,2018-12-27 18:00:00,,
American Century Sustainable Eq,ESGA,NYSEArca,,,
IQ MacKay ESG Core Plus Bond ET,ESGB,NYSEArca,,,
iShares ESG Aware MSCI EAFE ETF,ESGD,NasdaqGM,2016-12-27 18:00:00,0.0,0.0
iShares ESG Aware MSCI EM ETF,ESGE,NasdaqGM,2016-12-27 18:00:00,0.0,0.0
FlexShares STOXX Global ESG Sel,ESGG,BATS,2017-03-23 19:00:00,,
Columbia International ESG Equi,ESGN,NYSEArca,,,
Enstar Group Limited,ESGR,NasdaqGS,2007-01-29 18:00:00,0.0,0.0
Enstar Group Limited - Deposito,ESGRO,NasdaqGS,2023-02-28 18:00:00,0.0,0.0
Enstar Group Limited - Deposita,ESGRP,NasdaqGS,2023-02-28 18:00:00,0.0,0.0
Columbia U.S. ESG Equity Income,ESGS,NYSEArca,,,
iShares ESG Aware MSCI USA ETF,ESGU,NasdaqGM,,,
Vanguard ESG U.S. Stock ETF,ESGV,BATS,,,
American Century Sustainable Gr,ESGY,NYSEArca,,,
Xtrackers J.P. Morgan ESG USD H,ESHY,BATS,,,
Element Solutions Inc.,ESI,NYSE,2023-03-14 19:00:00,0.32,0.017232094
SSGA Active Trust SPDR S&P Smal,ESIX,NYSEArca,,,
Elbit Systems Ltd.,ESLT,NasdaqGS,2023-01-08 18:00:00,2.0,0.01139796
iShares ESG Aware MSCI USA Smal,ESML,BATS,,,
"EngageSmart, Inc.",ESMT,NYSE,,0.0,0.0
iShares ESG MSCI USA Min Vol Fa,ESMV,NasdaqGM,,,
Essent Group Ltd.,ESNT,NYSE,2023-03-19 19:00:00,0.86,0.022896698
Energy Services of America Corp,ESOA,NasdaqCM,2023-02-14 18:00:00,0.0,0.0
Espey Mfg. & Electronics Corp.,ESP,NYSE American,2020-12-28 18:00:00,0.0,0.0
VanEck Video Gaming and eSports,ESPO,NasdaqGM,,,
"Esperion Therapeutics, Inc.",ESPR,NasdaqGM,,0.0,0.0
"Esquire Financial Holdings, Inc",ESQ,NasdaqCM,2023-02-28 18:00:00,0.28,0.0075187967
"Empire State Realty Trust, Inc.",ESRT,NYSE,2023-03-30 19:00:00,0.14,0.02118003
"Essex Property Trust, Inc.",ESS,NYSE,2023-04-13 19:00:00,8.8,0.04059228
"ESSA Bancorp, Inc.",ESSA,NasdaqGS,2023-03-30 19:00:00,0.57,0.03499079
Establishment Labs Holdings Inc,ESTA,NasdaqCM,,0.0,0.0
Elastic N.V.,ESTC,NYSE,,0.0,0.0
"Earthstone Energy, Inc.",ESTE,NYSE,,0.0,0.0
Energy Transfer LP,ET,NYSE,2023-02-20 18:00:00,1.0,0.083752096
"Etao International Co., Ltd.",ETAO,NasdaqCM,,0.0,0.0
Eaton Vance Tax-Managed Buy-Wri,ETB,NYSE,2019-01-30 18:00:00,1.266,0.09882904
Ethan Allen Interiors Inc.,ETD,NYSE,2023-02-20 18:00:00,1.79,0.06573632
Eaton Vance Tax-Advantaged Glob,ETG,NYSE,2019-01-30 18:00:00,1.56,0.10337972
Etho Climate Leadership U.S. ET,ETHO,NYSEArca,,,
Entergy Texas Inc 5.375% Series,ETI-P,NYSE,2023-01-14 18:00:00,,
Eaton Vance Risk-Managed Divers,ETJ,NYSE,2019-01-30 18:00:00,0.0,0.0
"Eaton Corporation, PLC",ETN,NYSE,2023-03-23 19:00:00,3.24,0.020342814
"89bio, Inc.",ETNB,NasdaqGM,,0.0,0.0
Eaton Vance Tax-Advantage Globa,ETO,NYSE,2019-01-30 18:00:00,2.15,0.10376449
"Eton Pharmaceuticals, Inc.",ETON,NasdaqGM,,0.0,0.0
Entergy Corporation,ETR,NYSE,2023-02-28 18:00:00,4.1,0.03901418
Equitrans Midstream Corporation,ETRN,NYSE,2023-02-13 18:00:00,0.6,0.11029412
"Etsy, Inc.",ETSY,NasdaqGS,,0.0,0.0
Eaton Vance Corporation Eaton V,ETV,NYSE,2019-01-30 18:00:00,1.298,0.103674114
Eaton Vance Corporation Eaton V,ETW,NYSE,2019-01-30 18:00:00,0.843,0.10877419
"E2open Parent Holdings, Inc.",ETWO,NYSE,,0.0,0.0
,ETWO-WS,,,,
Eaton Vance Municipal Income 20,ETX,NYSE,2019-01-30 18:00:00,0.0,0.0
Eaton Vance Tax-Managed Diversi,ETY,NYSE,2019-01-30 18:00:00,1.115,0.0984113
enCore Energy Corp.,EU,NYSE American,,0.0,0.0
Eucrates Biomedical Acquisition,EUCR,NasdaqCM,,0.0,0.0
Eucrates Biomedical Acquisition,EUCRU,NasdaqCM,,0.0,0.0
Eucrates Biomedical Acquisition,EUCRW,NasdaqCM,,,
Euda Health Holdings Limited,EUDA,NasdaqCM,,0.0,0.0
,EUDAW,NasdaqCM,,0.0,0.0
WisdomTree Europe Quality Divid,EUDG,NYSEArca,,,
ProShares MSCI Europe Dividend ,EUDV,BATS,,0.0,0.0
iShares MSCI Europe Financials ,EUFN,NasdaqGM,2016-12-27 18:00:00,,
ProShares Short MSCI Emerging M,EUM,NYSEArca,,,
ProShares UltraShort Euro,EUO,NYSEArca,,,
Direxion Daily FTSE Europe Bull,EURL,NYSEArca,,,
Euronav NV,EURN,NYSE,2023-03-01 18:00:00,0.12,0.007185628
iShares MSCI USA Equal Weighted,EUSA,NYSEArca,,0.0,0.0
iShares ESG Advanced Total USD ,EUSB,NYSEArca,,,
WisdomTree Europe Hedged SmallC,EUSC,NYSEArca,,,
Enviva Inc.,EVA,NYSE,2023-02-23 18:00:00,3.62,0.11900065
Direxion Shares ETF Trust Direx,EVAV,NYSEArca,,0.0,0.0
Evaxion Biotech A/S,EVAX,NasdaqCM,,0.0,0.0
"Everbridge, Inc.",EVBG,NasdaqGM,,0.0,0.0
"Evans Bancorp, Inc.",EVBN,NYSE American,2023-04-03 19:00:00,1.26,0.03634266
Entravision Communications Corp,EVC,NYSE,2023-03-30 19:00:00,0.1,0.016806724
EverCommerce Inc.,EVCM,NasdaqGS,,0.0,0.0
EVe Mobility Acquisition Corp,EVE,NYSE,,0.0,0.0
,EVE-WS,,,,
Direxion Shares ETF Trust Direx,EVEN,NYSEArca,,,
"EverQuote, Inc.",EVER,NasdaqGM,2017-05-18 19:00:00,0.0,0.0
"Eve Holding, Inc.",EVEX,NYSE,,0.0,0.0
Eaton Vance Senior Income Trust,EVF,NYSE,2019-01-09 18:00:00,0.498,0.0946768
Eaton Vance Short Diversified I,EVG,NYSE,2019-01-30 18:00:00,1.198,0.11791338
Evogene Ltd.,EVGN,NasdaqGM,,0.0,0.0
EVgo Inc.,EVGO,NasdaqGS,,0.0,0.0
EVgo Inc. Warrants,EVGOW,NasdaqGS,,,
Evergreen Corporation,EVGR,NasdaqGM,,0.0,0.0
Evergreen Corporation,EVGRU,NasdaqGM,,0.0,0.0
Evergreen Corporation Warrant,EVGRW,NasdaqGS,,0.0,0.0
